Doença,Código CID-10
Febre reumática aguda e doenças reumáticas crônicas do coração,I08.8
Febre reumática aguda e doenças reumáticas crônicas do coração,I08.9
Febre reumática aguda e doenças reumáticas crônicas do coração,I09.0
Febre reumática aguda e doenças reumáticas crônicas do coração,I09.1
Febre reumática aguda e doenças reumáticas crônicas do coração,I09.2
Febre reumática aguda e doenças reumáticas crônicas do coração,I09.8
Febre reumática aguda e doenças reumáticas crônicas do coração,I09.9
"Infecções respiratórias, inclusive pneumonia e influenza",J00
"Infecções respiratórias, inclusive pneumonia e influenza",J01.0
"Infecções respiratórias, inclusive pneumonia e influenza",J01.1
"Infecções respiratórias, inclusive pneumonia e influenza",J01.2
"Infecções respiratórias, inclusive pneumonia e influenza",J01.3
"Infecções respiratórias, inclusive pneumonia e influenza",J01.4
"Infecções respiratórias, inclusive pneumonia e influenza",J01.8
"Infecções respiratórias, inclusive pneumonia e influenza",J01.9
"Infecções respiratórias, inclusive pneumonia e influenza",J02.8
"Infecções respiratórias, inclusive pneumonia e influenza",J02.9
"Infecções respiratórias, inclusive pneumonia e influenza",J03.8
"Infecções respiratórias, inclusive pneumonia e influenza",J03.9
"Infecções respiratórias, inclusive pneumonia e influenza",J04.0
"Infecções respiratórias, inclusive pneumonia e influenza",J04.1
"Infecções respiratórias, inclusive pneumonia e influenza",J04.2
"Infecções respiratórias, inclusive pneumonia e influenza",J05.0
"Infecções respiratórias, inclusive pneumonia e influenza",J05.1
"Infecções respiratórias, inclusive pneumonia e influenza",J06.0
"Infecções respiratórias, inclusive pneumonia e influenza",J06.8
"Infecções respiratórias, inclusive pneumonia e influenza",J06.9
"Infecções respiratórias, inclusive pneumonia e influenza",J10.0
"Infecções respiratórias, inclusive pneumonia e influenza",J10.1
"Infecções respiratórias, inclusive pneumonia e influenza",J10.8
"Infecções respiratórias, inclusive pneumonia e influenza",J11.0
"Infecções respiratórias, inclusive pneumonia e influenza",J11.1
"Infecções respiratórias, inclusive pneumonia e influenza",J11.8
"Infecções respiratórias, inclusive pneumonia e influenza",J12.0
"Infecções respiratórias, inclusive pneumonia e influenza",J12.1
"Infecções respiratórias, inclusive pneumonia e influenza",J12.2
"Infecções respiratórias, inclusive pneumonia e influenza",J12.8
"Infecções respiratórias, inclusive pneumonia e influenza",J12.9
"Infecções respiratórias, inclusive pneumonia e influenza",J13
"Infecções respiratórias, inclusive pneumonia e influenza",J14
"Infecções respiratórias, inclusive pneumonia e influenza",J15.0
"Infecções respiratórias, inclusive pneumonia e influenza",J15.1
"Infecções respiratórias, inclusive pneumonia e influenza",J15.2
"Infecções respiratórias, inclusive pneumonia e influenza",J15.3
"Infecções respiratórias, inclusive pneumonia e influenza",J15.4
"Infecções respiratórias, inclusive pneumonia e influenza",J15.5
"Infecções respiratórias, inclusive pneumonia e influenza",J15.6
"Infecções respiratórias, inclusive pneumonia e influenza",J15.7
"Infecções respiratórias, inclusive pneumonia e influenza",J15.8
"Infecções respiratórias, inclusive pneumonia e influenza",J15.9
"Infecções respiratórias, inclusive pneumonia e influenza",J16.0
"Infecções respiratórias, inclusive pneumonia e influenza",J16.8
"Infecções respiratórias, inclusive pneumonia e influenza",J17.0
"Infecções respiratórias, inclusive pneumonia e influenza",J17.1
"Infecções respiratórias, inclusive pneumonia e influenza",J17.2
"Infecções respiratórias, inclusive pneumonia e influenza",J17.3
"Infecções respiratórias, inclusive pneumonia e influenza",J17.8
"Infecções respiratórias, inclusive pneumonia e influenza",J18.0
"Infecções respiratórias, inclusive pneumonia e influenza",J18.1
"Infecções respiratórias, inclusive pneumonia e influenza",J18.2
"Infecções respiratórias, inclusive pneumonia e influenza",J18.8
"Infecções respiratórias, inclusive pneumonia e influenza",J18.9
"Infecções respiratórias, inclusive pneumonia e influenza",J19
"Infecções respiratórias, inclusive pneumonia e influenza",J20.0
"Infecções respiratórias, inclusive pneumonia e influenza",J20.1
"Infecções respiratórias, inclusive pneumonia e influenza",J20.2
"Infecções respiratórias, inclusive pneumonia e influenza",J20.3
"Infecções respiratórias, inclusive pneumonia e influenza",J20.4
"Infecções respiratórias, inclusive pneumonia e influenza",J20.5
"Infecções respiratórias, inclusive pneumonia e influenza",J20.6
"Infecções respiratórias, inclusive pneumonia e influenza",J20.7
"Infecções respiratórias, inclusive pneumonia e influenza",J20.8
"Infecções respiratórias, inclusive pneumonia e influenza",J20.9
"Infecções respiratórias, inclusive pneumonia e influenza",J21.0
"Infecções respiratórias, inclusive pneumonia e influenza",J21.8
"Infecções respiratórias, inclusive pneumonia e influenza",J21.9
"Infecções respiratórias, inclusive pneumonia e influenza",J22
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L02.0
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L02.1
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L02.2
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L02.3
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L02.4
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L02.8
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L02.9
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L03.0
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L03.1
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L03.2
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L03.3
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L03.8
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L03.9
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L04.0
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L04.1
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L04.2
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L04.3
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L04.8
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L04.9
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L05.0
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L05.9
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L06
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L07
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L08.0
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L08.1
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L08.8
"Infecções da pele e do tecido subcutâneo, exceto síndrome da pele escaldada estafilocócica do recém-nascido e impetigo",L08.9
Infecção do trato urinário de localização não especificada,N39.0
Outras doenças de notificação compulsória,A20.0
Outras doenças de notificação compulsória,A20.1
Outras doenças de notificação compulsória,A20.2
Outras doenças de notificação compulsória,A20.3
Outras doenças de notificação compulsória,A20.7
Outras doenças de notificação compulsória,A20.8
Outras doenças de notificação compulsória,A20.9
Outras doenças de notificação compulsória,A21.0
Outras doenças de notificação compulsória,A21.1
Outras doenças de notificação compulsória,A21.2
Outras doenças de notificação compulsória,A21.3
Outras doenças de notificação compulsória,A21.7
Outras doenças de notificação compulsória,A21.8
Outras doenças de notificação compulsória,A21.9
Outras doenças de notificação compulsória,A22.0
Outras doenças de notificação compulsória,A22.1
Outras doenças de notificação compulsória,A22.2
Outras doenças de notificação compulsória,A22.7
Outras doenças de notificação compulsória,A22.8
Outras doenças de notificação compulsória,A22.9
Outras doenças de notificação compulsória,A27.0
Outras doenças de notificação compulsória,A27.8
Outras doenças de notificação compulsória,A27.9
Outras doenças de notificação compulsória,A30.0
Outras doenças de notificação compulsória,A30.1
Outras doenças de notificação compulsória,A30.2
Outras doenças de notificação compulsória,A30.3
Outras doenças de notificação compulsória,A30.4
Outras doenças de notificação compulsória,A30.5
Outras doenças de notificação compulsória,A30.8
Outras doenças de notificação compulsória,A30.9
Outras doenças de notificação compulsória,A77.0
Outras doenças de notificação compulsória,A77.1
Outras doenças de notificação compulsória,A77.2
Outras doenças de notificação compulsória,A77.3
Outras doenças de notificação compulsória,A77.8
Outras doenças de notificação compulsória,A77.9
Outras doenças de notificação compulsória,A82.0
Outras doenças de notificação compulsória,A82.1
Outras doenças de notificação compulsória,A82.9
Outras doenças de notificação compulsória,A90
Outras doenças de notificação compulsória,A91
Outras doenças de notificação compulsória,A92.3
Outras doenças de notificação compulsória,A95.0
Outras doenças de notificação compulsória,A95.1
Outras doenças de notificação compulsória,A95.9
Outras doenças de notificação compulsória,A98.5
Outras doenças de notificação compulsória,B03
Outras doenças de notificação compulsória,B55.0
Outras doenças de notificação compulsória,B55.1
Outras doenças de notificação compulsória,B55.2
Outras doenças de notificação compulsória,B55.9
Outras doenças de notificação compulsória,B57.0
Outras doenças de notificação compulsória,B57.1
Outras doenças de notificação compulsória,B57.2
Outras doenças de notificação compulsória,B65.0
Outras doenças de notificação compulsória,B65.1
Outras doenças de notificação compulsória,B65.2
Outras doenças de notificação compulsória,B65.3
Outras doenças de notificação compulsória,B65.8
Outras doenças de notificação compulsória,B65.9
Outras infecções,A23.0
Outras infecções,A23.1
Outras infecções,A23.2
Outras infecções,A23.3
Outras infecções,A23.8
Outras infecções,A23.9
Outras infecções,A24.0
Outras infecções,A24.1
Outras infecções,A24.2
Outras infecções,A24.3
Outras infecções,A24.4
Outras infecções,A25.0
Outras infecções,A25.1
Outras infecções,A25.9
Outras infecções,A26.0
Outras infecções,A26.7
Outras infecções,A26.8
Outras infecções,A26.9
Outras infecções,A28.0
Outras infecções,A28.1
Outras infecções,A28.2
Outras infecções,A28.8
Outras infecções,A28.9
Outras infecções,A31.0
Outras infecções,A31.1
Outras infecções,A31.8
Outras infecções,A31.9
Outras infecções,A32.0
Outras infecções,A32.1
Outras infecções,A32.7
Outras infecções,A32.8
Outras infecções,A32.9
Outras infecções,A38
Outras infecções,A39.0
Outras infecções,A39.1
Outras infecções,A39.2
Outras infecções,A39.3
Outras infecções,A39.4
Outras infecções,A39.5
Outras infecções,A39.8
Outras infecções,A39.9
Outras infecções,A40.0
Outras infecções,A40.1
Outras infecções,A40.2
Outras infecções,A40.3
Outras infecções,A40.8
Outras infecções,A40.9
Outras infecções,A41.0
Outras infecções,A41.1
Outras infecções,A41.2
Outras infecções,A41.3
Outras infecções,A41.4
Outras infecções,A41.5
Outras infecções,A41.8
Outras infecções,A41.9
Outras infecções,A46
Outras infecções,A69.2
Outras infecções,J02.0
Outras infecções,J03.0
Outras infecções,B50.0
Outras infecções,B50.8
Outras infecções,B50.9
Outras infecções,B51.0
Outras infecções,B51.8
Outras infecções,B51.9
Outras infecções,B52.0
Outras infecções,B52.8
Outras infecções,B52.9
Outras infecções,B53.0
Outras infecções,B53.1
Outras infecções,B53.8
Outras infecções,B54
Outras infecções,G00.1
Outras infecções,G00.2
Outras infecções,G00.3
Outras infecções,G00.4
Outras infecções,G00.5
Outras infecções,G00.6
Outras infecções,G00.7
Outras infecções,G00.8
Outras infecções,G00.9
Outras infecções,G01
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C00.0
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C00.1
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C00.2
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C00.3
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C00.4
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C00.5
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C00.6
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C00.8
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C00.9
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C43.0
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C43.1
"Neoplasia maligna do lábio, melanoma maligno da pele e outras neoplasias malignas da pele",C43.2
