Doença,Código CID-10
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.0
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.1
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.2
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.3
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.8
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.9
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.0
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.1
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.2
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.3
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.8
"Síndrome de aspiração neonatal, exceto de leite e alimento regurgitados",P24.9
Transtornos respiratórios específicos do período neonatal,P22.1
Transtornos respiratórios específicos do período neonatal,P22.0
Transtornos respiratórios específicos do período neonatal,P22.1
Transtornos respiratórios específicos do período neonatal,P22.8
Transtornos respiratórios específicos do período neonatal,P22.9
Transtornos respiratórios específicos do período neonatal,P23.0
Transtornos respiratórios específicos do período neonatal,P23.1
Transtornos respiratórios específicos do período neonatal,P23.2
Transtornos respiratórios específicos do período neonatal,P23.3
Transtornos respiratórios específicos do período neonatal,P23.4
Transtornos respiratórios específicos do período neonatal,P23.5
Transtornos respiratórios específicos do período neonatal,P23.6
Transtornos respiratórios específicos do período neonatal,P23.8
Transtornos respiratórios específicos do período neonatal,P23.9
Transtornos respiratórios específicos do período neonatal,P25.0
Transtornos respiratórios específicos do período neonatal,P25.1
Transtornos respiratórios específicos do período neonatal,P25.2
Transtornos respiratórios específicos do período neonatal,P25.3
Transtornos respiratórios específicos do período neonatal,P25.8
Transtornos respiratórios específicos do período neonatal,P27.0
Transtornos respiratórios específicos do período neonatal,P27.1
Transtornos respiratórios específicos do período neonatal,P27.8
Transtornos respiratórios específicos do período neonatal,P27.9
Transtornos respiratórios específicos do período neonatal,P28.0
Transtornos respiratórios específicos do período neonatal,P28.1
Transtornos respiratórios específicos do período neonatal,P28.2
Transtornos respiratórios específicos do período neonatal,P28.3
Transtornos respiratórios específicos do período neonatal,P28.4
Transtornos respiratórios específicos do período neonatal,P28.5
Transtornos respiratórios específicos do período neonatal,P28.8
Transtornos respiratórios específicos do período neonatal,P28.9
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.0
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.1
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.2
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.3
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.8
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.9
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.0
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.1
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.2
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.3
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.8
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P35.9
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P36.0
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P36.1
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P36.2
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P36.3
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P36.4
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P36.5
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P36.8
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P36.9
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P37.0
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P37.1
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P37.2
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P37.3
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P37.4
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P37.5
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P37.8
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P37.9
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P38
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P39.0
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P39.1
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P39.2
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P39.3
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P39.4
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P39.8
"Infecções específicas do período neonatal, exceto síndrome da rubéola congênita e hepatite viral congênita",P39.9
"Hemorragia neonatal, exceto intracraniana não-traumática",P50.0
"Hemorragia neonatal, exceto intracraniana não-traumática",P50.1
"Hemorragia neonatal, exceto intracraniana não-traumática",P50.2
"Hemorragia neonatal, exceto intracraniana não-traumática",P50.3
"Hemorragia neonatal, exceto intracraniana não-traumática",P50.4
"Hemorragia neonatal, exceto intracraniana não-traumática",P50.5
"Hemorragia neonatal, exceto intracraniana não-traumática",P50.8
"Hemorragia neonatal, exceto intracraniana não-traumática",P50.9
"Hemorragia neonatal, exceto intracraniana não-traumática",P51.0
"Hemorragia neonatal, exceto intracraniana não-traumática",P51.8
"Hemorragia neonatal, exceto intracraniana não-traumática",P51.9
"Hemorragia neonatal, exceto intracraniana não-traumática",P53
"Hemorragia neonatal, exceto intracraniana não-traumática",P54.0
"Hemorragia neonatal, exceto intracraniana não-traumática",P54.1
"Hemorragia neonatal, exceto intracraniana não-traumática",P54.2
"Hemorragia neonatal, exceto intracraniana não-traumática",P54.3
"Hemorragia neonatal, exceto intracraniana não-traumática",P54.4
"Hemorragia neonatal, exceto intracraniana não-traumática",P54.5
"Hemorragia neonatal, exceto intracraniana não-traumática",P54.6
"Hemorragia neonatal, exceto intracraniana não-traumática",P54.8
"Hemorragia neonatal, exceto intracraniana não-traumática",P54.9
Outras icterícias neonatais,P58.0
Outras icterícias neonatais,P58.1
Outras icterícias neonatais,P58.2
Outras icterícias neonatais,P58.3
Outras icterícias neonatais,P58.4
Outras icterícias neonatais,P58.5
Outras icterícias neonatais,P58.8
Outras icterícias neonatais,P58.9
Outras icterícias neonatais,P59.0
Outras icterícias neonatais,P59.1
Outras icterícias neonatais,P59.2
Outras icterícias neonatais,P59.3
Outras icterícias neonatais,P59.8
Outras icterícias neonatais,P59.9
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P70.0
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P70.1
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P70.2
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P70.3
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P70.4
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P70.8
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P70.9
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P71.0
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P71.1
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P71.2
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P71.3
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P71.4
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P71.8
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P71.9
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P72.0
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P72.1
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P72.2
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P72.8
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P72.9
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P73
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P74.0
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P74.1
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P74.2
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P74.3
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P74.4
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P74.5
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P74.8
Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,P74.9
Outros transtornos hemotológicos do feto e do recém-nascido,P60
Outros transtornos hemotológicos do feto e do recém-nascido,P61.0
Outros transtornos hemotológicos do feto e do recém-nascido,P61.1
Outros transtornos hemotológicos do feto e do recém-nascido,P61.2
Outros transtornos hemotológicos do feto e do recém-nascido,P61.3
Outros transtornos hemotológicos do feto e do recém-nascido,P61.4
Outros transtornos hemotológicos do feto e do recém-nascido,P61.5
Outros transtornos hemotológicos do feto e do recém-nascido,P61.6
Outros transtornos hemotológicos do feto e do recém-nascido,P61.8
Outros transtornos hemotológicos do feto e do recém-nascido,P61.9
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P75
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P76.0
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P76.1
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P76.2
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P76.8
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P76.9
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P78.0
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P78.1
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P78.2
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P78.3
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P78.8
"Transtornos do aparelho digestivo do feto ou do recém-nascido, exceto enterocolite necrotizante",P78.9
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P80.0
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P80.8
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P80.9
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P81.0
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P81.8
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P81.9
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P82
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P83.0
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P83.1
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P83.2
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P83.3
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P83.4
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P83.5
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P83.6
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P83.8
Afecções que comprometem o tegumento e a regulação térmica do feto e do recém-nascido,P83.9
Outros transtornos originados no período perinatal (exceto P95 e P96.9),P90
Outros transtornos originados no período perinatal (exceto P95 e P96.9),P91.0
Outros transtornos originados no período perinatal (exceto P95 e P96.9),P91.1
Outros transtornos originados no período perinatal (exceto P95 e P96.9),P91.2
Outros transtornos originados no período perinatal (exceto P95 e P96.9),P91.3
Outros transtornos originados no período perinatal (exceto P95 e P96.9),P91.4
Outros transtornos originados no período perinatal (exceto P95 e P96.9),P91.5
Outros transtornos originados no período perinatal (exceto P95 e P96.9),P91.6
